probe	location	status	owning_epic	php_out_sha	mc_out_sha
cap_array_recursion	gate	PASS	stdlib-arrays	05d81e2d	05d81e2d
cap_bare_array_channel_elems	audit	DIFF	unassigned	91816d30	fb524659
cap_byref_arg_undefined_local	gate	PASS	unassigned	033bca2a	033bca2a
cap_callback_byref_capture	gate	PASS	element-repr	b76f3225	b76f3225
cap_destruct_and_shutdown	gate	PASS	lifecycle	8e0d1e53	8e0d1e53
cap_doc_elem_string_keys	gate	PASS	unassigned	a24b68ff	a24b68ff
cap_func_args	gate	PASS	language-core	fe08dfa4	fe08dfa4
cap_function_exists_dynamic	gate	PASS	error-handling	32bf6da0	32bf6da0
cap_globals_array_read	audit	COMPILE	sapi-layer	f62f7ed7	02bd9711
cap_header_emit	audit	DIFF	sapi-layer	a379f642	95e7a56a
cap_iterator_protocol	gate	PASS	iteration	92fb7382	92fb7382
cap_mb_minimal	audit	DIFF	mbstring	f662929a	4ae6c002
cap_misc_absent_fns	audit	COMPILE	stdlib-leaf	61fb19a9	009afa88
cap_ob_stack	gate	PASS	sapi-layer	79d2838c	79d2838c
cap_preg_named_groups	gate	PASS	regex-surface	55781052	55781052
cap_putenv	gate	PASS	sapi-layer	4541b800	4541b800
cap_refl_attr_is_instanceof	audit	DIFF	reflection-tier4	81e6a06b	c1823850
cap_refl_enum	audit	DIFF	reflection-tier4	94826e1e	da3f6b63
cap_refl_hydration	audit	COMPILE	reflection-tier4	059ab67e	be938162
cap_refl_param_attributes	audit	COMPILE	reflection-tier4	806b4764	be9401b0
cap_refl_param_default	audit	COMPILE	reflection-tier4	6b4c27b0	40c594ec
cap_refl_union_type	audit	DIFF	reflection-tier4	1ba6a4d0	addb935e
cap_sapi_fn_presence	gate	PASS	sapi-layer	146b45c2	146b45c2
cap_spl_autoload_register	audit	DIFF	autoload-semantics	1e874113	efa202c1
cap_str_capture_family	gate	PASS	bare-alias-capture	f7efa7d9	f7efa7d9
cap_superglobal_get_post	audit	PASS	sapi-layer	a3f639d2	a3f639d2
cap_superglobal_server_web	audit	PASS	sapi-layer	7cf8abd1	7cf8abd1
cap_trigger_error_handler	audit	PASS	error-handling	19571bee	19571bee
cap_unhinted_static_float	audit	CRASH	unassigned	cf125985	da39a3ee
cap_union_nullable_class	gate	PASS	type-lowering	b998a1e2	b998a1e2
