epoch	pid	rss_kb	physical_bytes	vmmap_line
1787849300	76533	32	0	Physical footprint:         80K
1787849305	76533	385488	0	Physical footprint:         375.7M
1787849311	76533	522416	0	Physical footprint:         506.9M
1787849317	76533	606192	0	Physical footprint:         588.2M
1787849323	76533	710208	0	Physical footprint:         690.2M
1787849328	76533	749920	0	Physical footprint:         728.8M
1787849334	76533	782976	0	Physical footprint:         761.0M
1787849340	76533	825600	0	Physical footprint:         802.8M
1787849345	76533	911072	0	Physical footprint:         886.4M
1787849351	76533	948320	0	Physical footprint:         922.5M
1787849357	76533	980800	0	Physical footprint:         954.1M
1787849363	76533	1069936	0	Physical footprint:         1.0G
1787849368	76533	1101920	0	Physical footprint:         1.0G
1787849374	76533	1175328	0	Physical footprint:         1.1G
1787849380	76533	1225536	0	Physical footprint:         1.2G
1787849386	76533	1255728	0	Physical footprint:         1.2G
1787849391	76533	1344752	0	Physical footprint:         1.3G
1787849397	76533	1375504	0	Physical footprint:         1.3G
1787849403	76533	1457664	0	Physical footprint:         1.4G
1787849409	76533	1506672	0	Physical footprint:         1.4G
1787849415	76533	1541952	0	Physical footprint:         1.5G
1787849420	76533	1633104	0	Physical footprint:         1.6G
1787849426	76533	1664848	0	Physical footprint:         1.6G
1787849432	76533	1703408	0	Physical footprint:         1.6G
1787849438	76533	1791744	0	Physical footprint:         1.7G
1787849444	76533	1824336	0	Physical footprint:         1.7G
1787849450	76533	1907072	0	Physical footprint:         1.8G
1787849456	76533	1946896	0	Physical footprint:         1.9G
1787849461	76533	1975280	0	Physical footprint:         1.9G
1787849467	76533	2069424	0	Physical footprint:         2.0G
1787849473	76533	2118320	0	Physical footprint:         2.0G
1787849479	76533	2148752	0	Physical footprint:         2.0G
1787849485	76533	2224512	0	Physical footprint:         2.1G
1787849491	76533	2313072	0	Physical footprint:         2.2G
1787849497	76533	2346944	0	Physical footprint:         2.2G
1787849503	76533	2381200	0	Physical footprint:         2.3G
1787849509	76533	2469616	0	Physical footprint:         2.4G
1787849515	76533	2499648	0	Physical footprint:         2.4G
1787849521	76533	2574096	0	Physical footprint:         2.5G
1787849527	76533	2621904	0	Physical footprint:         2.5G
1787849533	76533	2651728	0	Physical footprint:         2.5G
1787849539	76533	2733216	0	Physical footprint:         2.6G
1787849545	76533	2775344	0	Physical footprint:         2.6G
1787849551	76533	2842016	0	Physical footprint:         2.7G
1787849557	76533	3057104	0	Physical footprint:         2.9G
1787849563	76533	3585168	0	Physical footprint:         3.4G
1787849569	76533	3876512	0	Physical footprint:         3.7G
1787849575	76533	4083904	0	Physical footprint:         3.9G
1787849581	76533	4675696	0	Physical footprint:         4.5G
1787849587	76533	4786960	0	Physical footprint:         4.6G
1787849593	76533	4830384	0	Physical footprint:         4.6G
1787849599	76533	4860368	0	Physical footprint:         4.6G
1787849606	76533	4924224	0	Physical footprint:         4.7G
1787849612	76533	5872384	0	Physical footprint:         5.6G
1787849618	76533	7946656	0	Physical footprint:         7.6G
1787849625	76533	9744832	0	Physical footprint:         9.8G
