epoch	pid	rss_kb	physical_bytes	vmmap_line
1787850224	84035	32	81920	Physical footprint:         80K
1787850229	84035	386336	393006285	Physical footprint:         374.8M
1787850235	84035	519600	528587162	Physical footprint:         504.1M
1787850240	84035	606928	617611264	Physical footprint:         589.0M
1787850246	84035	710528	723832013	Physical footprint:         690.3M
1787850252	84035	750144	764307046	Physical footprint:         728.9M
1787850257	84035	780624	795554611	Physical footprint:         758.7M
1787850263	84035	821744	837707366	Physical footprint:         798.9M
1787850269	84035	906384	924634317	Physical footprint:         881.8M
1787850275	84035	944256	963012198	Physical footprint:         918.4M
1787850280	84035	977744	997615206	Physical footprint:         951.4M
1787850286	84035	1067232	1073741824	Physical footprint:         1.0G
1787850292	84035	1099520	1073741824	Physical footprint:         1.0G
1787850298	84035	1169904	1181116006	Physical footprint:         1.1G
1787850303	84035	1218688	1288490189	Physical footprint:         1.2G
1787850309	84035	1251216	1288490189	Physical footprint:         1.2G
1787850315	84035	1340448	1395864371	Physical footprint:         1.3G
1787850321	84035	1370976	1395864371	Physical footprint:         1.3G
1787850326	84035	1450048	1503238554	Physical footprint:         1.4G
1787850332	84035	1498480	1503238554	Physical footprint:         1.4G
1787850338	84035	1534400	1610612736	Physical footprint:         1.5G
1787850344	84035	1609088	1610612736	Physical footprint:         1.5G
1787850350	84035	1657520	1717986918	Physical footprint:         1.6G
1787850355	84035	1691088	1717986918	Physical footprint:         1.6G
1787850361	84035	1779728	1825361101	Physical footprint:         1.7G
1787850367	84035	1808752	1825361101	Physical footprint:         1.7G
1787850373	84035	1843504	1932735283	Physical footprint:         1.8G
1787850379	84035	1931520	1932735283	Physical footprint:         1.8G
1787850385	84035	1964080	2040109466	Physical footprint:         1.9G
1787850391	84035	2014752	2040109466	Physical footprint:         1.9G
1787850397	84035	2102576	2147483648	Physical footprint:         2.0G
1787850403	84035	2135792	2147483648	Physical footprint:         2.0G
1787850408	84035	2188704	2254857830	Physical footprint:         2.1G
1787850414	84035	2281040	2362232013	Physical footprint:         2.2G
1787850420	84035	2330416	2362232013	Physical footprint:         2.2G
1787850426	84035	2363424	2469606195	Physical footprint:         2.3G
1787850432	84035	2432688	2469606195	Physical footprint:         2.3G
1787850438	84035	2480784	2576980378	Physical footprint:         2.4G
1787850444	84035	2513424	2576980378	Physical footprint:         2.4G
1787850450	84035	2599792	2684354560	Physical footprint:         2.5G
1787850456	84035	2631872	2684354560	Physical footprint:         2.5G
1787850462	84035	2663344	2684354560	Physical footprint:         2.5G
1787850468	84035	2750240	2791728742	Physical footprint:         2.6G
1787850474	84035	2782624	2899102925	Physical footprint:         2.7G
1787850480	84035	2889904	3006477107	Physical footprint:         2.8G
1787850486	84035	3189888	3221225472	Physical footprint:         3.0G
1787850492	84035	3719008	3758096384	Physical footprint:         3.5G
1787850498	84035	3882768	3972844749	Physical footprint:         3.7G
1787850504	84035	4195408	4294967296	Physical footprint:         4.0G
1787850511	84035	4716112	4831838208	Physical footprint:         4.5G
1787850517	84035	4804688	4939212390	Physical footprint:         4.6G
1787850523	84035	4838064	4939212390	Physical footprint:         4.6G
1787850529	84035	4871168	4939212390	Physical footprint:         4.6G
1787850535	84035	4932848	5046586573	Physical footprint:         4.7G
1787850541	84035	6333808	6442450944	Physical footprint:         6.0G
1787850548	84035	8168128	8375186227	Physical footprint:         7.8G
1787850554	84035	9741712	10737418240	Physical footprint:         10.0G
