epoch	pid	rss_kb	physical_bytes	vmmap_line
1787852483	96007	32	81920	Physical footprint:         80K
1787852488	96007	370400	377801933	Physical footprint:         360.3M
1787852494	96007	520560	529635738	Physical footprint:         505.1M
1787852499	96007	583024	592864870	Physical footprint:         565.4M
1787852505	96007	696240	708837376	Physical footprint:         676.0M
1787852511	96007	743520	757805875	Physical footprint:         722.7M
1787852517	96007	773968	788529152	Physical footprint:         752.0M
1787852522	96007	812544	829528474	Physical footprint:         791.1M
1787852528	96007	897968	915616563	Physical footprint:         873.2M
1787852534	96007	938448	957140173	Physical footprint:         912.8M
1787852539	96007	970432	989855744	Physical footprint:         944.0M
1787852545	96007	1051280	1073741824	Physical footprint:         1.0G
1787852551	96007	1090016	1073741824	Physical footprint:         1.0G
1787852557	96007	1122800	1181116006	Physical footprint:         1.1G
1787852562	96007	1210704	1288490189	Physical footprint:         1.2G
1787852568	96007	1241728	1288490189	Physical footprint:         1.2G
1787852574	96007	1322992	1395864371	Physical footprint:         1.3G
1787852580	96007	1361760	1395864371	Physical footprint:         1.3G
1787852586	96007	1400544	1395864371	Physical footprint:         1.3G
1787852591	96007	1488192	1503238554	Physical footprint:         1.4G
1787852597	96007	1518944	1503238554	Physical footprint:         1.4G
1787852603	96007	1578160	1610612736	Physical footprint:         1.5G
1787852609	96007	1646800	1717986918	Physical footprint:         1.6G
1787852615	96007	1679136	1717986918	Physical footprint:         1.6G
1787852621	96007	1762640	1825361101	Physical footprint:         1.7G
1787852626	96007	1801392	1825361101	Physical footprint:         1.7G
1787852632	96007	1831216	1825361101	Physical footprint:         1.7G
1787852638	96007	1920176	1932735283	Physical footprint:         1.8G
1787852644	96007	1950192	2040109466	Physical footprint:         1.9G
1787852650	96007	1981456	2040109466	Physical footprint:         1.9G
1787852656	96007	2082752	2147483648	Physical footprint:         2.0G
1787852662	96007	2122832	2147483648	Physical footprint:         2.0G
1787852668	96007	2153520	2254857830	Physical footprint:         2.1G
1787852674	96007	2244944	2254857830	Physical footprint:         2.1G
1787852680	96007	2316928	2362232013	Physical footprint:         2.2G
1787852686	96007	2346496	2362232013	Physical footprint:         2.2G
1787852692	96007	2383008	2469606195	Physical footprint:         2.3G
1787852697	96007	2471008	2576980378	Physical footprint:         2.4G
1787852703	96007	2501072	2576980378	Physical footprint:         2.4G
1787852709	96007	2574480	2684354560	Physical footprint:         2.5G
1787852715	96007	2621152	2684354560	Physical footprint:         2.5G
1787852721	96007	2652752	2684354560	Physical footprint:         2.5G
1787852727	96007	2740608	2791728742	Physical footprint:         2.6G
1787852733	96007	2774912	2791728742	Physical footprint:         2.6G
1787852739	96007	2841376	2899102925	Physical footprint:         2.7G
1787852745	96007	3099280	3221225472	Physical footprint:         3.0G
1787852751	96007	3620816	3650722202	Physical footprint:         3.4G
1787852757	96007	3907472	3972844749	Physical footprint:         3.7G
1787852763	96007	4120736	4187593114	Physical footprint:         3.9G
