epoch	pid	rss_kb	physical_bytes	vmmap_line
1787852039	93881	32	81920	Physical footprint:         80K
1787852044	93881	377472	386295398	Physical footprint:         368.4M
1787852050	93881	519472	528482304	Physical footprint:         504.0M
1787852056	93881	594320	615199539	Physical footprint:         586.7M
1787852062	93881	695056	707683942	Physical footprint:         674.9M
1787852067	93881	744656	760112742	Physical footprint:         724.9M
1787852073	93881	774592	789158298	Physical footprint:         752.6M
1787852079	93881	816672	832359629	Physical footprint:         793.8M
1787852085	93881	902960	920754586	Physical footprint:         878.1M
1787852090	93881	939392	958188749	Physical footprint:         913.8M
1787852096	93881	971120	990380032	Physical footprint:         944.5M
1787852102	93881	1052512	1073741824	Physical footprint:         1.0G
1787852108	93881	1092784	1073741824	Physical footprint:         1.0G
1787852113	93881	1125808	1181116006	Physical footprint:         1.1G
1787852119	93881	1213216	1288490189	Physical footprint:         1.2G
1787852125	93881	1243504	1288490189	Physical footprint:         1.2G
1787852131	93881	1318256	1395864371	Physical footprint:         1.3G
1787852137	93881	1362368	1395864371	Physical footprint:         1.3G
1787852142	93881	1399648	1395864371	Physical footprint:         1.3G
1787852148	93881	1488208	1503238554	Physical footprint:         1.4G
1787852154	93881	1519088	1503238554	Physical footprint:         1.4G
1787852160	93881	1575312	1610612736	Physical footprint:         1.5G
1787852166	93881	1644784	1717986918	Physical footprint:         1.6G
1787852171	93881	1674960	1717986918	Physical footprint:         1.6G
1787852177	93881	1749664	1825361101	Physical footprint:         1.7G
1787852183	93881	1797536	1825361101	Physical footprint:         1.7G
1787852189	93881	1831232	1825361101	Physical footprint:         1.7G
1787852195	93881	1920608	1932735283	Physical footprint:         1.8G
1787852201	93881	1951424	2040109466	Physical footprint:         1.9G
1787852207	93881	1982864	2040109466	Physical footprint:         1.9G
1787852212	93881	2083728	2147483648	Physical footprint:         2.0G
1787852218	93881	2124976	2147483648	Physical footprint:         2.0G
1787852224	93881	2154032	2254857830	Physical footprint:         2.1G
1787852230	93881	2249600	2254857830	Physical footprint:         2.1G
1787852236	93881	2319008	2362232013	Physical footprint:         2.2G
1787852242	93881	2350832	2362232013	Physical footprint:         2.2G
1787852248	93881	2383424	2469606195	Physical footprint:         2.3G
1787852254	93881	2471616	2576980378	Physical footprint:         2.4G
1787852260	93881	2504224	2576980378	Physical footprint:         2.4G
1787852266	93881	2574576	2684354560	Physical footprint:         2.5G
1787852272	93881	2620928	2684354560	Physical footprint:         2.5G
1787852278	93881	2652768	2684354560	Physical footprint:         2.5G
1787852284	93881	2740672	2791728742	Physical footprint:         2.6G
1787852290	93881	2774592	2791728742	Physical footprint:         2.6G
1787852296	93881	2841056	2899102925	Physical footprint:         2.7G
1787852302	93881	3070768	3113851290	Physical footprint:         2.9G
1787852308	93881	3604384	3650722202	Physical footprint:         3.4G
1787852314	93881	3883056	3972844749	Physical footprint:         3.7G
1787852320	93881	4067136	4187593114	Physical footprint:         3.9G
1787852326	93881	4597664	4724464026	Physical footprint:         4.4G
1787852333	93881	4736448	4831838208	Physical footprint:         4.5G
1787852339	93881	4819984	4939212390	Physical footprint:         4.6G
1787852345	93881	4840064	4939212390	Physical footprint:         4.6G
1787852351	93881	4867616	4939212390	Physical footprint:         4.6G
1787852357	93881	5628160	5798205850	Physical footprint:         5.4G
1787852364	93881	7733648	7945689498	Physical footprint:         7.4G
1787852370	93881	9046128	9234179686	Physical footprint:         8.6G
