epoch	pid	rss_kb	physical_bytes	vmmap_line
1788356139	92234	1568	6275072	Physical footprint:         6128K
1788356146	92234	678656	709151948	Physical footprint:         676.3M
1788356153	92234	1645760	1717986918	Physical footprint:         1.6G
1788356160	92234	1696400	1717986918	Physical footprint:         1.6G
1788356167	92234	1723792	1717986918	Physical footprint:         1.6G
1788356174	92234	1743520	1825361100	Physical footprint:         1.7G
1788356181	92234	1814096	1825361100	Physical footprint:         1.7G
1788356188	92234	1835904	1825361100	Physical footprint:         1.7G
1788356194	92234	1878176	1932735283	Physical footprint:         1.8G
1788356201	92234	1901040	1932735283	Physical footprint:         1.8G
1788356208	92234	1929696	1932735283	Physical footprint:         1.8G
1788356215	92234	1973968	2040109465	Physical footprint:         1.9G
1788356222	92234	2102784	2147483648	Physical footprint:         2.0G
1788356229	92234	2201200	2254857830	Physical footprint:         2.1G
1788356236	92234	2335472	2362232012	Physical footprint:         2.2G
1788356243	92234	2462032	2469606195	Physical footprint:         2.3G
1788356250	92234	2491136	2576980377	Physical footprint:         2.4G
1788356257	92234	2537920	2576980377	Physical footprint:         2.4G
1788356264	92234	2578336	2684354560	Physical footprint:         2.5G
1788356271	92234	2670960	2684354560	Physical footprint:         2.5G
1788356278	92234	2701984	2791728742	Physical footprint:         2.6G
1788356285	92234	2738512	2791728742	Physical footprint:         2.6G
1788356292	92234	2789296	2899102924	Physical footprint:         2.7G
1788356299	92234	2884224	2899102924	Physical footprint:         2.7G
1788356306	92234	3011728	3113851289	Physical footprint:         2.9G
1788356313	92234	3035568	3113851289	Physical footprint:         2.9G
1788356320	92234	3089216	3113851289	Physical footprint:         2.9G
1788356327	92234	3138944	3221225472	Physical footprint:         3.0G
1788356334	92234	3161408	3221225472	Physical footprint:         3.0G
1788356341	92234	3202784	3328599654	Physical footprint:         3.1G
1788356348	92234	3340752	3435973836	Physical footprint:         3.2G
1788356355	92234	3400752	3435973836	Physical footprint:         3.2G
1788356362	92234	3459408	3543348019	Physical footprint:         3.3G
1788356369	92234	3503440	3543348019	Physical footprint:         3.3G
